student_id,month,inflows,outflows,avg_balance,overdraft_events,late_fees_count
S000001,2023-01,845.34,593.89,157.3,0,0
S000001,2023-02,1077.07,884.99,172.66,0,0
S000001,2023-03,675.34,996.52,146.97,0,0
S000001,2023-04,963.08,762.51,163.02,0,0
S000001,2023-05,827.21,982.82,150.57,0,0
S000001,2023-06,932.78,818.92,159.68,0,2
S000001,2023-07,924.22,769.08,172.09,0,1
S000001,2023-08,1221.21,892.28,198.4,0,0
S000001,2023-09,1043.51,669.26,228.34,1,0
S000001,2023-10,859.28,827.24,230.9,0,0
S000001,2023-11,1046.68,913.79,241.54,0,0
S000001,2023-12,879.45,809.52,247.13,0,0
S000001,2024-01,1064.67,884.43,261.55,0,0
S000001,2024-02,1079.96,611.32,299.04,2,2
S000001,2024-03,838.71,929.28,291.8,0,0
S000001,2024-04,772.59,734.94,294.81,0,0
S000001,2024-05,646.45,862.92,277.49,0,0
S000001,2024-06,787.92,931.78,265.98,0,0
S000001,2024-07,698.5,784.8,259.08,0,1
S000001,2024-08,666.43,680.16,257.98,0,0
S000001,2024-09,662.45,788.78,247.87,0,0
S000001,2024-10,839.68,912.73,242.03,0,0
S000001,2024-11,1155.18,542.65,291.03,0,0
S000001,2024-12,832.66,762.24,296.66,0,0
S000001,2025-01,875.87,835.44,299.9,0,0
S000002,2023-01,524.32,424.56,75.21,0,0
S000002,2023-02,544.99,369.43,89.26,0,0
S000002,2023-03,318.39,461.1,77.84,0,0
S000002,2023-04,515.37,448.9,83.16,2,0
S000002,2023-05,396.26,397.57,83.05,1,1
S000002,2023-06,441.86,438.5,83.32,0,0
S000002,2023-07,582.54,470.03,92.32,0,0
S000002,2023-08,495.67,461.11,95.09,0,0
S000002,2023-09,485.68,577.79,87.72,0,0
S000002,2023-10,429.15,515.99,80.77,0,0
S000002,2023-11,343.73,540.34,65.04,0,0
S000002,2023-12,431.17,540.78,56.27,0,0
S000002,2024-01,530.92,521.84,57.0,0,1
S000002,2024-02,498.66,374.06,66.97,0,0
S000002,2024-03,479.53,408.2,72.67,0,0
S000002,2024-04,601.4,368.47,91.31,0,0
S000002,2024-05,607.42,576.29,93.8,0,0
S000002,2024-06,535.68,403.13,104.4,0,0
S000002,2024-07,448.42,454.33,103.93,0,0
S000002,2024-08,432.22,449.99,102.51,1,0
S000002,2024-09,436.94,525.23,95.45,0,0
S000002,2024-10,505.91,583.97,89.2,0,0
S000002,2024-11,499.25,455.63,92.69,0,0
S000002,2024-12,352.84,380.68,90.46,0,0
S000002,2025-01,451.69,398.41,94.73,1,1
S000003,2023-01,4530.61,4429.49,486.42,0,0
S000003,2023-07,4590.83,4018.5,532.2,0,0
S000003,2024-08,5184.74,5698.92,491.07,0,0
S000003,2025-01,3700.4,3349.8,519.12,0,0
S000004,2023-01,2599.79,1312.16,261.55,0,0
S000004,2023-02,2025.03,3062.43,178.56,0,0
S000004,2023-03,2637.75,2146.84,217.84,0,0
S000004,2023-04,2089.44,1667.02,251.63,0,0
S000004,2023-05,2317.28,2470.14,239.4,1,0
S000004,2023-06,2182.02,1951.53,257.84,0,0
S000004,2023-07,1913.09,772.27,349.11,0,1
S000004,2023-08,3169.21,3770.94,300.97,0,0
S000004,2023-09,1808.7,1815.35,300.43,0,0
S000004,2023-10,2149.55,1366.64,363.07,0,0
S000004,2023-11,2180.13,1020.93,455.8,0,0
S000004,2023-12,2332.77,2996.72,402.69,0,0
S000004,2024-01,2296.28,1537.73,463.37,0,0
S000004,2024-02,1845.2,1291.08,507.7,0,0
S000004,2024-03,2232.9,1341.17,579.04,0,0
S000004,2024-04,1521.38,1530.37,578.32,0,0
S000004,2024-05,1232.77,2966.4,439.63,0,0
S000004,2024-06,2459.55,2753.14,416.14,0,0
S000004,2024-07,964.4,1355.76,384.83,0,0
S000004,2024-08,3940.23,1786.21,557.15,1,0
S000004,2024-09,1497.18,2006.3,516.42,0,0
S000004,2024-10,2449.31,2478.49,514.09,0,0
S000004,2024-11,2512.31,2122.0,545.31,1,0
S000004,2024-12,2611.51,2070.31,588.61,1,1
S000004,2025-01,2541.55,1598.46,664.06,0,0
S000005,2023-01,392.18,484.01,178.98,1,0
S000005,2023-02,279.33,294.9,177.74,0,0
S000005,2023-03,317.72,497.36,163.37,0,0
S000005,2023-04,229.72,523.65,139.85,0,0
S000005,2023-05,835.63,326.82,180.56,0,0
S000005,2023-06,277.95,177.56,188.59,0,0
S000005,2023-07,233.97,487.62,168.3,0,1
S000005,2023-08,354.55,359.2,167.93,0,0
S000005,2023-09,554.36,332.81,185.65,0,0
S000005,2023-10,538.88,360.19,199.94,0,0
S000005,2023-11,480.93,293.82,214.91,0,0
S000005,2023-12,559.58,494.36,220.13,0,0
S000005,2024-01,351.36,415.08,215.03,0,1
S000005,2024-02,322.46,542.74,197.41,0,0
S000005,2024-03,383.24,555.43,183.64,0,0
S000005,2024-04,450.37,458.54,182.98,0,0
S000005,2024-05,411.0,309.07,191.14,0,1
S000005,2024-06,457.39,480.55,189.28,0,0
S000005,2024-07,491.91,412.03,195.67,0,0
S000005,2024-08,456.82,229.72,213.84,0,1
S000005,2024-09,674.39,438.43,232.72,0,0
S000005,2024-10,534.38,208.64,258.78,0,0
S000005,2024-11,442.81,478.39,255.93,0,0
S000005,2024-12,336.6,449.2,246.93,0,0
S000005,2025-01,255.68,293.12,243.93,2,0
S000006,2023-01,2071.98,2464.75,365.82,0,0
S000006,2023-02,2989.56,1712.68,467.97,0,0
S000006,2023-03,2832.79,1275.08,592.59,0,0
S000006,2023-04,2986.21,2003.56,671.2,0,0
S000006,2023-05,1820.14,1839.86,669.62,0,0
S000006,2023-06,3600.85,1684.63,822.92,0,0
S000006,2023-07,2943.18,2155.8,885.91,0,1
S000006,2023-08,2088.15,2603.52,844.68,0,0
S000006,2023-09,2728.32,2340.86,875.68,0,1
S000006,2023-10,2011.76,946.16,960.93,0,0
S000006,2023-11,1509.65,2460.43,884.86,0,0
S000006,2023-12,2011.8,2181.09,871.32,0,0
S000006,2024-01,2009.26,1941.6,876.73,0,0
S000006,2024-02,1649.25,1806.55,864.15,0,0
S000006,2024-03,1288.98,2254.73,786.89,0,0
S000006,2024-04,3350.62,1955.84,898.47,0,0
S000006,2024-05,2919.88,2951.94,895.91,0,0
S000006,2024-06,2217.06,2989.71,834.1,0,0
S000006,2024-07,1669.92,1577.05,841.52,0,0
S000006,2024-08,3327.91,2033.22,945.1,0,1
S000006,2024-09,1989.35,2011.77,943.31,0,0
S000006,2024-10,2150.88,2683.84,900.67,0,0
S000006,2024-11,2050.18,2206.4,888.17,0,0
S000006,2024-12,2963.56,3129.36,874.91,0,0
S000006,2025-01,1391.47,1727.37,848.04,0,0
S000007,2023-01,2097.26,1809.9,496.78,0,0
S000007,2023-02,1742.13,1705.85,499.68,0,1
S000007,2023-03,1127.48,1215.78,492.62,0,1
S000007,2023-04,1610.41,1574.81,495.46,0,0
S000007,2023-05,1979.58,1676.7,519.69,0,1
S000007,2023-06,1150.02,1773.0,469.86,0,0
S000007,2023-07,2054.18,1388.62,523.1,0,0
S000007,2023-08,1660.77,1661.18,523.07,0,0
S000007,2023-09,1292.16,1565.64,501.19,0,0
S000007,2023-10,1603.24,1684.22,494.71,0,0
S000007,2023-11,1415.65,1669.62,474.39,0,0
S000007,2023-12,1640.44,1507.1,485.06,0,0
S000007,2024-01,1610.37,1503.08,493.64,1,0
S000007,2024-02,1836.31,1461.06,523.66,0,0
S000007,2024-03,1602.06,1819.66,506.25,0,0
S000007,2024-04,2150.66,2037.96,515.27,0,1
S000007,2024-05,1907.3,1893.92,516.34,0,1
S000007,2024-06,2057.78,1503.29,560.7,0,0
S000007,2024-07,1617.77,1805.57,545.68,1,0
S000007,2024-08,1646.95,1594.33,549.88,0,0
S000007,2024-09,1402.17,1906.16,509.57,0,0
